conversation_id,title,date,from,to,duration_minutes,message_count_total,user_message_count,assistant_message_count,primary_category,primary_type,primary_tool,secondary_tool,tertiary_tool,was_solved,complexity_bucket,avg_user_message_length,model_slug
781bddbb-de23-4da0-8901-ab101c46f877,SQL Query Optimization Help,2023-02-10,2023-02-10 19:52:13.645791,2023-03-15 14:57:45.986008,"47225,54",12,6,6,SQL / BI,How-to / Question,R,SQL Server / SSIS / SSRS,,TRUE,High,"456,2",
c1556289-d972-444f-bf33-5d602af377f0,Slow Query Optimization Tips,2023-02-10,2023-02-10 19:53:15.903051,2023-02-10 20:18:07.230555,"24,86",15,7,8,SQL / BI,Troubleshooting,SQL / BI Tools,,,TRUE,High,"1910,3",
db498881-72cb-4979-9e57-39642b404ed1,SQL Query Help Needed,2023-02-10,2023-02-10 19:54:52.780199,2023-02-10 19:55:09.611090,"0,28",2,1,1,SQL / BI,General Inquiry,SQL / BI Tools,,,TRUE,Low,33,
39d67f70-c0e3-4271-83b0-a6d78646dc74,Create Button In Python Web,2023-02-13,2023-02-13 11:21:07.274784,2023-02-13 11:22:07.501984,1,2,1,1,Python / Programming,Build / Design,Python,,,TRUE,Low,43,
c580af00-4ace-43f1-8996-ac4e99f70102,Join varchar columns possible,2023-02-13,2023-02-13 14:26:53.694294,2023-02-13 14:27:15.307315,"0,36",2,1,1,SQL / BI,General Inquiry,SQL / BI Tools,,,TRUE,Low,29,
1eb95901-e612-4a88-94d5-57e54f33cc67,Removing Duplicates in Join,2023-02-13,2023-02-13 14:29:55.424565,2023-02-13 14:30:56.264282,"1,01",2,1,1,SQL / BI,General Inquiry,SQL / BI Tools,,,TRUE,Low,29,
d89c64de-e71b-4f2b-b341-b7244a74002a,Assist User Request,2023-02-14,2023-02-14 12:56:45.708909,2023-02-14 12:56:47.188582,"0,02",2,1,1,SQL / BI,General Inquiry,SQL Server / SSIS / SSRS,,,TRUE,Low,2,
fd9ee25c-4fcd-4290-97d0-9832a80c1183,New chat,2023-02-14,2023-02-14 12:57:38.560248,2023-02-14 16:46:41.594298,"229,05",4,2,2,SQL / BI,Analysis / Research,SQL / BI Tools,,,TRUE,High,952,
c0c84690-a4a2-4a90-b172-087644c99041,Expert Data Engineer Tips.,2023-02-14,2023-02-14 14:42:10.408931,2023-02-14 14:42:25.038141,"0,24",2,1,1,General / Other,General Inquiry,General Purpose,,,TRUE,Low,43,
c8352ed4-2e77-4bd2-b4ed-ed0f10d8d865,Identify non-buying customers.,2023-02-14,2023-02-14 16:33:29.015675,2023-02-14 16:33:58.605748,"0,49",2,1,1,SQL / BI,How-to / Question,SQL / BI Tools,,,TRUE,High,2031,
9460eded-d5a7-4491-9a79-a10dab30d901,Trabajo como ingeniero de datos.,2023-02-14,2023-02-14 16:34:26.543009,2023-02-14 16:34:42.319770,"0,26",2,1,1,General / Other,How-to / Question,General Purpose,,,TRUE,Low,31,
2f8c3239-f777-4e6e-bdc1-ec52d9bfd60d,Clientes que no compraron.,2023-02-14,2023-02-14 16:41:38.643777,2023-02-14 16:45:55.780512,"4,29",4,2,2,SQL / BI,How-to / Question,SQL / BI Tools,,,TRUE,High,1013,
9c8ebfd2-4a3d-4b80-b0d7-d34f546cc250,Identificar clientes sin compras,2023-02-14,2023-02-14 16:43:03.826226,2023-02-14 16:43:25.567532,"0,36",2,1,1,SQL / BI,Analysis / Research,SQL / BI Tools,,,TRUE,High,1893,
849bc1b4-eb1c-40cc-8c87-6d10f5bd379d,New chat,2023-02-14,2023-02-14 17:09:14.060782,2023-02-14 17:09:31.511877,"0,29",4,2,2,SQL / BI,Analysis / Research,SQL / BI Tools,,,TRUE,High,989,
49d6a3b5-3131-49f1-ab31-aea7d36ffdcf,SQL sales data aggregation.,2023-02-14,2023-02-14 17:09:50.338523,2023-02-14 17:10:00.055023,"0,16",2,1,1,SQL / BI,Analysis / Research,SQL / BI Tools,,,TRUE,High,1981,
f12dbf9c-ff6d-4645-9403-a32e7e8e6d92,Title: Assistance Requested,2023-02-17,2023-02-17 18:36:27.505874,2023-02-17 18:36:29.261635,"0,03",2,1,1,SQL / BI,General Inquiry,SQL Server / SSIS / SSRS,,,TRUE,Low,5,
56bd8e32-599c-45e1-82d2-86e8c0de84ea,Distinct Cliente Codigo Selection,2023-02-17,2023-02-17 18:37:02.672534,2023-02-17 18:37:59.376023,"0,95",2,1,1,Personal / Advice,Writing / Translation,Personal / Daily Life,,,TRUE,Medium,1044,
9779b302-0e58-4161-aa84-da2e74b339a8,SQL: Fix Query with DISTINCT,2023-02-17,2023-02-17 18:40:34.913047,2023-02-17 18:41:54.361536,"1,32",2,1,1,SQL / BI,Troubleshooting,SQL / BI Tools,,,TRUE,Medium,1132,
b440997d-b4f1-4225-a6df-1fc08e2b0794,SQL help available.,2023-03-06,2023-03-06 19:53:15.851349,2023-03-06 19:53:23.712183,"0,13",2,1,1,SQL / BI,General Inquiry,SQL / BI Tools,,,TRUE,Low,18,
fc27c5f5-0ec5-48f0-ba22-358e4c2d196b,SQL: Find unmatched records.,2023-03-10,2023-03-10 11:17:07.649773,2023-03-15 12:15:27.863870,"7258,34",4,2,2,SQL / BI,How-to / Question,R,,,TRUE,High,"1292,5",
d28752c0-ef29-47de-afcc-1eac6be06367,Ayuda con Ableton.,2023-03-16,2023-03-16 11:09:25.152077,2023-03-16 11:09:52.583210,"0,46",2,1,1,General / Other,General Inquiry,General Purpose,,,TRUE,Low,33,
e5c23a4e-38d9-46c9-adf5-62c572a81c50,New chat,2023-03-16,2023-03-16 11:10:13.705806,2023-03-16 11:14:24.737528,"4,18",4,2,2,General / Other,General Inquiry,General Purpose,,,TRUE,Low,"43,5",
e08f2c68-9ce6-4ebe-bcb0-b9a23a742f81,Crear medida MDX para pedidos del mes anterior en SSAS.,2023-03-16,2023-03-16 11:36:48.906104,2023-03-16 11:37:01.116666,"0,2",2,1,1,Machine Learning / AI,Build / Design,AI / ML,,,TRUE,Low,117,
2d03f225-0f01-43be-b87e-4eba6d47116a,MDX medida ventas mes,2023-03-16,2023-03-16 11:37:54.420334,2023-03-16 11:45:06.061579,"7,19",4,2,2,General / Other,Build / Design,General Purpose,,,TRUE,Low,60,
014d76c2-edc8-45f9-b16a-7ef2fc604cb0,Análisis en blanco.,2023-03-16,2023-03-16 12:13:18.513079,2023-03-16 12:24:45.749135,"11,45",6,3,3,General / Other,How-to / Question,General Purpose,,,TRUE,Medium,85,
fe8dd783-b59f-4400-a816-9f6ab27993c7,Spark SQL Query Result.,2023-03-16,2023-03-16 12:27:31.670968,2023-03-16 12:35:17.791001,"7,77",8,4,4,Data Engineering,How-to / Question,Apache Spark,,,TRUE,Medium,"307,2",
7181854b-e94f-4f4d-9014-7886d3e9f632,Saludo y Ayuda,2023-03-16,2023-03-16 12:35:37.183387,2023-03-16 13:02:10.277420,"26,55",6,3,3,Python / Programming,How-to / Question,Python / Programming,,,TRUE,Medium,"67,3",
b2c570e0-eda2-4d34-b87b-e6a4d759580e,Bodaishin: ¿Quién es?,2023-03-16,2023-03-16 13:39:18.477698,2023-03-16 19:03:23.470945,"324,08",14,7,7,General / Other,Analysis / Research,General Purpose,,,TRUE,High,33,
2554db92-afa8-4ce4-901c-3b36a899716b,"English Request, AI Responds.",2023-03-17,2023-03-17 12:10:20.985322,2023-03-17 12:12:16.297281,"1,92",6,3,3,SQL / BI,Writing / Translation,SQL / BI Tools,,,TRUE,Medium,45,
2a1b8180-1a94-4129-8c9a-c3b7bc757e4e,New chat,2023-03-17,2023-03-17 13:48:07.356018,2023-03-18 18:11:07.055988,"1702,99",3,1,2,SQL / BI,General Inquiry,SQL / BI Tools,,,TRUE,Medium,317,
30ba8ad9-4d09-4e37-8f65-fcdb0f23e5d2,Ayuda de Saludo,2023-03-17,2023-03-17 13:49:23.833322,2023-03-19 23:54:42.226247,"3485,31",34,16,18,Academic / Study,How-to / Question,Study / Coursework,,,TRUE,High,"198,1",
7b8fd01e-b247-4f47-99d6-9db1e2698997,"Hola, ¿en qué puedo ayudarte? - Saludo.",2023-03-23,2023-03-23 18:11:09.595524,2023-03-23 18:15:57.036695,"4,79",8,4,4,SQL / BI,How-to / Question,Power BI,,,TRUE,Medium,65,
3adc62c4-2ce6-4c2e-bfa8-7eab178b02de,New chat,2023-03-25,2023-03-25 19:44:46.674615,2023-05-19 13:38:59.514077,"78834,21",96,48,48,Academic / Study,How-to / Question,Power BI,,,TRUE,High,"256,4",
4fa3159a-56ea-4aa1-b2a8-384c7d52e5f8,New chat,2023-03-28,2023-03-28 14:57:30.739211,2023-03-29 13:58:30.891516,1381,20,10,10,SQL / BI,How-to / Question,Power BI,,,TRUE,High,"33,3",
875a7444-070e-470c-a6a5-44fbe032bdc5,Administración financiera del Estado.,2023-03-29,2023-03-29 13:05:08.590215,2023-03-29 19:51:49.923995,"406,69",12,6,6,Academic / Study,How-to / Question,Power BI,,,TRUE,Medium,"211,2",
79c14008-7395-4a03-a20d-260b19526eeb,Contrato de Sociedad SRL.,2023-03-31,2023-03-31 12:59:53.825278,2023-04-05 15:05:22.144713,"7325,47",97,46,51,SQL / BI,How-to / Question,Power BI,SQL Server / SSIS / SSRS,,TRUE,High,"306,8",
5de65bda-5ade-42ff-adb7-e590d37d070a,Auditoría fraude farmacéutica.,2023-04-02,2023-04-02 13:12:30.969241,2023-04-02 13:36:20.434284,"23,82",12,6,6,Academic / Study,Analysis / Research,Study / Coursework,,,TRUE,High,"1348,3",
d5c3e310-8088-473b-80cf-129e7316c7b8,Contrato de Sociedad Anónima,2023-04-07,2023-04-07 12:33:32.676237,2023-04-10 20:48:29.499776,"4814,95",30,15,15,AWS / Cloud,How-to / Question,Amazon S3,,,TRUE,High,"1451,2",
00547aa3-da5d-4690-bd11-14682275269d,Debilidades control interno ventas,2023-04-08,2023-04-08 16:09:01.299173,2023-04-10 18:30:09.345537,"3021,13",72,36,36,Academic / Study,Analysis / Research,Study / Coursework,,,TRUE,High,"891,5",
83a6cff6-96a0-4fc8-85d6-94b322b583c6,Create ETL Procedure.,2023-04-10,2023-04-10 20:49:39.431879,2023-04-10 21:26:24.854692,"36,76",14,7,7,SQL / BI,How-to / Question,Amazon S3,,,TRUE,High,"2294,7",
0775559b-7e86-4298-9b9b-b05d0fe8c619,Ver carpetas medidas tabulares.,2023-04-11,2023-04-11 11:52:21.125446,2023-04-11 11:52:29.537894,"0,14",2,1,1,Machine Learning / AI,Build / Design,AI / ML,,,TRUE,Low,81,
ddcc2f15-ebeb-480f-8b59-576b6e54f8e9,New chat,2023-04-11,2023-04-11 12:48:46.576115,2023-04-11 13:26:24.625599,"37,63",6,3,3,General / Other,How-to / Question,General Purpose,,,TRUE,Medium,139,
2b7a2c0d-7d69-4353-8d94-1729fb10b325,Acreedores privilegiados,2023-04-11,2023-04-11 13:31:16.115653,2023-04-11 13:42:40.994320,"11,41",14,7,7,General / Other,Analysis / Research,General Purpose,,,TRUE,High,59,
39dbdfa3-4179-44e1-896f-dba074692492,Alquiler mensual de leasing,2023-04-11,2023-04-11 14:29:39.075026,2023-04-11 15:20:00.185700,"50,35",6,3,3,Academic / Study,How-to / Question,Study / Coursework,,,TRUE,Medium,"170,3",
99b7f69d-200f-4990-9f99-c4f6fe70f10e,Estado de procesos SQL.,2023-04-12,2023-04-12 10:38:17.290530,2023-04-12 11:22:30.832208,"44,23",4,2,2,SQL / BI,How-to / Question,SQL Server / SSIS / SSRS,,,TRUE,Medium,"298,5",
c297ad0c-30d0-4570-b9bd-b8705e76b487,Error TDS en servidor vinculado.,2023-04-12,2023-04-12 13:40:13.420035,2023-04-14 16:43:12.005597,"3062,98",61,30,31,Academic / Study,How-to / Question,Study / Coursework,,,TRUE,High,"594,7",
8ddab01a-2f09-4590-bd8a-14ede0271823,Fórmula toma valores positivos,2023-04-13,2023-04-13 20:09:53.996949,2023-04-13 20:10:03.094289,"0,15",2,1,1,Academic / Study,How-to / Question,Study / Coursework,,,TRUE,Low,180,
4c7e5a08-e8ae-4381-a52e-abf2a8365cd7,Registro de eventos Windows.,2023-04-14,2023-04-14 19:38:07.587459,2023-04-14 19:38:10.424108,"0,05",2,1,1,General / Other,General Inquiry,General Purpose,,,TRUE,Low,20,
fc917b5f-599a-4c8c-bcc1-4abea41228af,Fallo Judicial Inconocido.,2023-04-16,2023-04-16 19:52:30.347919,2023-04-16 21:42:47.572269,"110,29",24,12,12,Academic / Study,How-to / Question,SQL Server / SSIS / SSRS,,,TRUE,High,"151,9",
381e16ae-c0bb-4dbe-a810-0e1d417c0fcb,Fallo sobre acuerdo preventivo.,2023-04-17,2023-04-17 12:16:46.178909,2023-04-17 12:53:33.450071,"36,79",10,5,5,AWS / Cloud,How-to / Question,Cloud / AWS,,,TRUE,High,"3520,8",
ab0b8091-f50d-42d6-8e5c-385a98754b08,Diferencias en SSIS,2023-04-19,2023-04-19 11:31:56.177109,2023-04-19 12:16:15.650391,"44,32",6,3,3,SQL / BI,How-to / Question,SQL Server / SSIS / SSRS,,,TRUE,Medium,"204,7",
d5173d05-fde9-419b-85a2-9d578421d667,Enfoque clásico de la política fiscal.,2023-04-19,2023-04-19 18:16:05.917606,2023-04-19 19:30:33.530123,"74,46",25,12,13,Academic / Study,Analysis / Research,Study / Coursework,,,TRUE,High,"613,1",
b0a42446-7736-4b8f-ab85-61ea6ae5f261,Ingresar imagen a SQL.,2023-04-20,2023-04-20 12:23:54.361989,2023-04-20 13:03:32.051349,"39,63",6,3,3,SQL / BI,Build / Design,SQL Server / SSIS / SSRS,,,TRUE,High,1141,
1edd9bf1-9c00-48e3-b9d0-709bd489c713,Conexión Power BI MySQL.,2023-04-20,2023-04-20 15:56:41.220446,2023-04-20 15:57:20.476718,"0,65",4,2,2,SQL / BI,General Inquiry,Power BI,,,TRUE,Low,33,
9154cf46-829a-44d8-8541-95c71012ba55,New chat,2023-04-21,2023-04-21 11:37:54.124039,2023-04-21 12:10:36.776817,"32,71",8,4,4,General / Other,How-to / Question,General Purpose,,,TRUE,Medium,"269,5",
2cb03992-0106-4943-987b-5a95256b1b66,Cálculo de Prima Emisión,2023-04-24,2023-04-24 11:36:45.172926,2023-04-24 14:51:22.556760,"194,62",12,6,6,Data Engineering,How-to / Question,SQL Server / SSIS / SSRS,,,TRUE,Medium,"92,8",
4f3e342a-5605-43bc-b048-a8430c572d45,New chat,2023-04-24,2023-04-24 13:13:42.464185,2023-04-24 13:14:16.550458,"0,57",4,2,2,Academic / Study,Build / Design,Study / Coursework,,,TRUE,High,"3167,5",
848f5cca-507e-49a1-af6a-a60e261e5b44,IA Interacción Humana.,2023-04-24,2023-04-24 13:41:42.751516,2023-04-24 15:26:39.212480,"104,94",10,5,5,SQL / BI,How-to / Question,SQL / BI Tools,,,TRUE,Medium,"125,8",
14d17fa7-2429-431f-8a04-b652b743ddb0,New chat,2023-04-24,2023-04-24 17:00:43.029873,2023-04-24 17:01:10.429748,"0,46",4,2,2,SQL / BI,How-to / Question,SQL Server / SSIS / SSRS,,,TRUE,Low,67,
28d4d4a3-addc-47ec-a6b4-1f444fce18ae,Envío de correo automático.,2023-04-25,2023-04-25 11:24:55.881158,2023-04-25 11:24:58.995248,"0,05",2,1,1,Personal / Advice,General Inquiry,SQL Server / SSIS / SSRS,,,TRUE,Low,76,
