year_month,AWS / Cloud,Academic / Study,Data Engineering,General / Other,Machine Learning / AI,Personal / Advice,Python / Programming,SQL / BI,Translation / Writing
2023-02,0.0,0.0,0.0,4.0,0.0,2.0,2.0,45.0,0.0
2023-03,0.0,142.0,8.0,30.0,2.0,0.0,6.0,140.0,0.0
2023-04,40.0,206.0,12.0,60.0,2.0,2.0,0.0,60.0,0.0
2023-05,28.0,152.0,0.0,22.0,16.0,14.0,0.0,190.0,0.0
2023-06,42.0,194.0,10.0,4.0,0.0,0.0,0.0,116.0,0.0
2023-07,6.0,116.0,22.0,102.0,0.0,0.0,0.0,286.0,0.0
2023-08,0.0,76.0,110.0,26.0,0.0,0.0,82.0,153.0,4.0
2023-09,48.0,219.0,143.0,52.0,70.0,0.0,148.0,26.0,46.0
2023-10,30.0,226.0,226.0,60.0,50.0,0.0,51.0,401.0,80.0
2023-11,4.0,175.0,75.0,62.0,80.0,14.0,30.0,147.0,179.0
2023-12,10.0,166.0,6.0,34.0,0.0,0.0,25.0,492.0,114.0
2024-01,0.0,86.0,83.0,65.0,9.0,6.0,60.0,120.0,2.0
2024-02,109.0,81.0,76.0,12.0,13.0,0.0,99.0,41.0,20.0
2024-03,14.0,73.0,30.0,14.0,0.0,2.0,52.0,256.0,6.0
2024-04,0.0,100.0,44.0,33.0,0.0,34.0,61.0,16.0,60.0
2024-05,32.0,109.0,420.0,109.0,0.0,15.0,76.0,124.0,53.0
2024-06,29.0,139.0,13.0,89.0,0.0,26.0,176.0,452.0,39.0
2024-07,17.0,108.0,296.0,39.0,0.0,7.0,0.0,517.0,95.0
2024-08,0.0,0.0,269.0,0.0,0.0,0.0,167.0,252.0,0.0
2024-09,0.0,0.0,0.0,0.0,22.0,0.0,0.0,249.0,36.0
2024-10,0.0,0.0,121.0,3.0,0.0,0.0,0.0,221.0,70.0
2024-11,0.0,0.0,33.0,11.0,0.0,21.0,28.0,312.0,0.0
2024-12,0.0,0.0,52.0,10.0,0.0,0.0,46.0,89.0,15.0
2025-01,0.0,0.0,0.0,14.0,6.0,0.0,26.0,142.0,0.0
2025-02,0.0,12.0,69.0,25.0,21.0,23.0,0.0,44.0,56.0
2025-03,9.0,0.0,61.0,44.0,0.0,19.0,5.0,81.0,43.0
2025-04,37.0,3.0,59.0,24.0,3.0,0.0,3.0,102.0,0.0
2025-05,99.0,44.0,13.0,173.0,0.0,0.0,64.0,76.0,11.0
2025-11,116.0,53.0,25.0,36.0,0.0,15.0,81.0,0.0,0.0
2025-12,26.0,25.0,192.0,195.0,10.0,48.0,48.0,7.0,6.0
2026-01,121.0,8.0,40.0,46.0,54.0,66.0,40.0,279.0,5.0
2026-02,0.0,23.0,43.0,32.0,51.0,38.0,277.0,41.0,21.0
2026-03,86.0,4.0,18.0,22.0,29.0,48.0,8.0,51.0,0.0
