datetime,request,response,category,type,tool_detected,was_solved,complexity_score,conversation_id
2025-04-20 03:00:00,Sample request 0,Sample response 0,Power BI,troubleshooting,Spark,FALSE,"1,61",conv_2
2025-10-05 22:00:00,Sample request 1,Sample response 1,Personal,troubleshooting,Redshift,FALSE,"3,2",conv_11
2025-10-27 06:00:00,Sample request 2,Sample response 2,Python,troubleshooting,S3,TRUE,"1,7",conv_12
2025-03-30 14:00:00,Sample request 3,Sample response 3,Power BI,question,S3,FALSE,"1,3",conv_17
2025-12-29 06:00:00,Sample request 4,Sample response 4,Machine Learning,troubleshooting,None,FALSE,"4,07",conv_19
2025-01-14 00:00:00,Sample request 5,Sample response 5,AWS,optimization,None,FALSE,"1,63",conv_1
2025-01-20 07:00:00,Sample request 6,Sample response 6,Python,design,None,TRUE,"4,5",conv_8
2025-06-11 07:00:00,Sample request 7,Sample response 7,Power BI,question,Airflow,TRUE,"1,28",conv_1
2025-06-24 20:00:00,Sample request 8,Sample response 8,Data Engineering,optimization,Redshift,TRUE,"4,31",conv_11
2025-06-02 22:00:00,Sample request 9,Sample response 9,Machine Learning,design,Airflow,FALSE,"2,92",conv_18
2025-10-08 12:00:00,Sample request 10,Sample response 10,SQL,question,S3,FALSE,"2,58",conv_12
2025-01-21 13:00:00,Sample request 11,Sample response 11,Python,troubleshooting,Glue,FALSE,"3,21",conv_3
2025-01-20 08:00:00,Sample request 12,Sample response 12,Python,question,None,TRUE,"1,42",conv_11
2025-04-27 03:00:00,Sample request 13,Sample response 13,SQL,design,Databricks,TRUE,"3,84",conv_16
2025-08-19 20:00:00,Sample request 14,Sample response 14,SQL,troubleshooting,Glue,FALSE,"2,19",conv_6
2025-09-05 03:00:00,Sample request 15,Sample response 15,Power BI,troubleshooting,Databricks,FALSE,"4,04",conv_12
2025-03-17 23:00:00,Sample request 16,Sample response 16,Machine Learning,question,S3,FALSE,"1,67",conv_8
2025-09-11 15:00:00,Sample request 17,Sample response 17,SQL,question,S3,TRUE,"1,83",conv_7
2025-12-30 19:00:00,Sample request 18,Sample response 18,Python,learning,S3,TRUE,"4,43",conv_11
